ID,IG,IS,VD,VG,VS,absID,absIG,dIddVg,date,filename,gm2,hour,length,remarks,si,sqrtID,structure,ta,target,temperature,thickness,title,uniqueID,width
-1.0112e-12,1.5210000000000002e-11,8.035000000000001e-11,0.0,0.0,,1.0112e-12,1.5210000000000002e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
1.1777e-11,-1.63e-12,-1.041e-11,0.1,0.0,,1.1777e-11,1.63e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
9.68e-12,1.249e-11,-1.221e-11,0.2,0.0,,9.68e-12,1.249e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
8.5456e-12,4.7159999999999995e-11,-7.130000000000001e-12,0.3,0.0,,8.5456e-12,4.7159999999999995e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
1.98046e-11,-5.065e-11,-2.071e-11,0.4,0.0,,1.98046e-11,5.065e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
9.8504e-12,5.363000000000001e-11,-1.11e-12,0.5,0.0,,9.8504e-12,5.363000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
1.03596e-11,2.57e-11,4.6689999999999996e-11,0.6,0.0,,1.03596e-11,2.57e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.31608e-11,-1.3999999999999999e-12,-7.789e-11,0.7000000000000001,0.0,,2.31608e-11,1.3999999999999999e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
1.9261e-11,-1.35e-12,-1.703e-11,0.8,0.0,,1.9261e-11,1.35e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.381e-11,-3.2180000000000005e-11,-2.16e-11,0.9,0.0,,2.381e-11,3.2180000000000005e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
1.6409999999999998e-11,4.5100000000000005e-11,-1.82e-11,1.0,0.0,,1.6409999999999998e-11,4.5100000000000005e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.7394000000000004e-11,-5.1110000000000005e-11,-2.6560000000000006e-11,1.1,0.0,,2.7394000000000004e-11,5.1110000000000005e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
1.78288e-11,5.283000000000001e-11,-9.03e-12,1.2,0.0,,1.78288e-11,5.283000000000001e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
1.82554e-11,2.917e-11,3.536e-11,1.3,0.0,,1.82554e-11,2.917e-11,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
3.14298e-11,-2.5800000000000003e-12,-9.006000000000001e-11,1.4,0.0,,3.14298e-11,2.5800000000000003e-12,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
2.74796e-11,-3.8000000000000015e-13,-2.6270000000000007e-11,1.5,0.0,,2.74796e-11,3.8000000000000015e-13,,07/03/2019,7_3_2019 12_29_19 PM__output RollOut__good.csv,,12:29:19,20,good,18,,6,132,6-13,300,150,Output,6-13,320
